Test File,N,M,L,Average Time (s)
test_50.txt,50,50,50,0.001387
test_100.txt,100,100,100,0.001297
test_150.txt,150,150,150,0.001327
test_200.txt,200,200,200,0.001445
test_250.txt,250,250,250,0.001716
test_300.txt,300,300,300,0.001511
test_350.txt,350,350,350,0.001545
test_400.txt,400,400,400,0.001463
test_450.txt,450,450,450,0.0015
test_500.txt,500,500,500,0.001586
test_550.txt,550,550,550,0.001533
test_600.txt,600,600,600,0.001569
test_650.txt,650,650,650,0.001765
test_700.txt,700,700,700,0.001768
test_750.txt,750,750,750,0.001772
test_800.txt,800,800,800,0.001805
test_850.txt,850,850,850,0.001916
test_900.txt,900,900,900,0.002049
test_950.txt,950,950,950,0.001961
test_1000.txt,1000,1000,1000,0.00199
test_1050.txt,1050,1050,1050,0.001879
test_1100.txt,1100,1100,1100,0.001845
test_1150.txt,1150,1150,1150,0.00213
test_1200.txt,1200,1200,1200,0.002195
test_1250.txt,1250,1250,1250,0.002111
test_1300.txt,1300,1300,1300,0.002135
test_1350.txt,1350,1350,1350,0.002078
test_1400.txt,1400,1400,1400,0.002039
test_1450.txt,1450,1450,1450,0.002051
test_1500.txt,1500,1500,1500,0.002092
test_1550.txt,1550,1550,1550,0.002167
test_1600.txt,1600,1600,1600,0.002091
test_1650.txt,1650,1650,1650,0.002212
test_1700.txt,1700,1700,1700,0.002203
test_1750.txt,1750,1750,1750,0.0023
test_1800.txt,1800,1800,1800,0.002164
test_1850.txt,1850,1850,1850,0.002175
test_1900.txt,1900,1900,1900,0.002242
test_1950.txt,1950,1950,1950,0.002332
test_2000.txt,2000,2000,2000,0.002372
test_2050.txt,2050,2050,2050,0.002556
test_2100.txt,2100,2100,2100,0.002489
test_2150.txt,2150,2150,2150,0.002358
test_2200.txt,2200,2200,2200,0.002466
test_2250.txt,2250,2250,2250,0.00252
test_2300.txt,2300,2300,2300,0.002497
test_2350.txt,2350,2350,2350,0.002495
test_2400.txt,2400,2400,2400,0.002598
test_2450.txt,2450,2450,2450,0.002534
test_2500.txt,2500,2500,2500,0.002567
test_2550.txt,2550,2550,2550,0.002582
test_2600.txt,2600,2600,2600,0.002612
test_2650.txt,2650,2650,2650,0.002629
test_2700.txt,2700,2700,2700,0.002696
test_2750.txt,2750,2750,2750,0.002858
test_2800.txt,2800,2800,2800,0.002702
test_2850.txt,2850,2850,2850,0.002661
test_2900.txt,2900,2900,2900,0.002826
test_2950.txt,2950,2950,2950,0.002739
test_3000.txt,3000,3000,3000,0.002999
test_3050.txt,3050,3050,3050,0.004293
test_3100.txt,3100,3100,3100,0.003298
test_3150.txt,3150,3150,3150,0.003019
test_3200.txt,3200,3200,3200,0.003054
test_3250.txt,3250,3250,3250,0.002826
test_3300.txt,3300,3300,3300,0.00282
test_3350.txt,3350,3350,3350,0.002947
test_3400.txt,3400,3400,3400,0.002999
test_3450.txt,3450,3450,3450,0.002973
test_3500.txt,3500,3500,3500,0.003179
test_3550.txt,3550,3550,3550,0.003068
test_3600.txt,3600,3600,3600,0.002983
test_3650.txt,3650,3650,3650,0.002986
test_3700.txt,3700,3700,3700,0.003029
test_3750.txt,3750,3750,3750,0.003103
test_3800.txt,3800,3800,3800,0.004913
test_3850.txt,3850,3850,3850,0.006866
test_3900.txt,3900,3900,3900,0.003642
